,ID,Job tenure,Age,Car price,Funding amount,Default (y)
443,444,17,83,12490,12490,1
3786,3787,20,79,15958,15958,0
4367,4368,15,42,4529,4864,0
6077,6078,4,58,11504,12041,0
4996,4997,14,46,12790,9113,0
5095,5096,12,79,8441,8441,0
445,446,28,52,16790,1548,0
2540,2541,2,45,6250,4945,0
6088,6089,29,45,5173,5173,0
2298,2299,19,54,7719,8230,0
5218,5219,6,42,9990,10124,0
3268,3269,8,52,6990,5058,0
3102,3103,11,46,4084,4342,0
2280,2281,2,52,10500,8992,0
4903,4904,5,41,6340,5470,1
7000,7001,1,31,3950,2000,0
5189,5190,28,47,9380,9380,0
5060,5061,34,55,17500,15532,0
6234,6235,6,49,7900,7900,0
4472,4473,1,67,11215,7865,0
1726,1727,32,54,18990,13840,0
408,409,9,43,10520,5340,0
4303,4304,9,55,4775,2575,0
6329,6330,35,54,11000,11718,0
2031,2032,6,64,3477,3592,0
4722,4723,12,40,8990,9828,1
3693,3694,13,38,10990,6057,0
3944,3945,12,74,11900,12525,1
6569,6570,11,61,15900,10900,0
4022,4023,2,50,11073,11073,0
3870,3871,9,42,10270,10270,0
2699,2700,9,57,15000,10728,0
6049,6050,8,45,8104,8104,0
4288,4289,4,47,14600,5412,0
3007,3008,16,33,7990,7995,0
6100,6101,3,49,5704,5704,0
4532,4533,4,64,12990,12198,0
3370,3371,3,68,16990,4058,0
7241,7242,5,44,5489,5964,0
1608,1609,20,53,13785,13785,0
2862,2863,1,47,10795,3167,0
751,752,22,60,10490,12019,1
1807,1808,0,48,7900,8331,0
5620,5621,4,38,6990,4990,0
2534,2535,11,48,10025,8167,1
6412,6413,12,51,6147,6147,0
6501,6502,5,62,10400,9827,0
2272,2273,15,56,4471,4471,0
7014,7015,3,67,12000,10000,0
6121,6122,3,53,6500,5976,0
4577,4578,20,49,11490,10086,0
6198,6199,26,48,1700,1743,0
1729,1730,1,55,8010,5113,0
756,757,2,67,13680,11680,0
4230,4231,43,59,11839,3954,0
2473,2474,3,55,12390,4390,0
743,744,6,40,6999,7989,0
4467,4468,5,36,8154,8622,0
2874,2875,3,28,8100,4531,0
6943,6944,1,41,6350,1912,0
1041,1042,32,57,5254,5547,0
5259,5260,6,53,6298,6782,0
4015,4016,33,57,5682,6365,0
1557,1558,0,22,3870,3455,0
2689,2690,28,58,11060,10270,0
5781,5782,6,53,6000,6000,0
4766,4767,30,51,15901,15990,0
7002,7003,5,35,5500,6175,1
5061,5062,13,39,4600,3022,0
6391,6392,17,51,11576,11576,0
4635,4636,8,52,6500,4950,1
881,882,46,62,13420,16278,1
6462,6463,1,66,5287,5287,1
5096,5097,4,45,8990,9958,0
131,132,10,52,715,715,0
346,347,13,53,12500,12470,0
3982,3983,0,53,8990,10258,0
6338,6339,2,46,12189,7189,0
3846,3847,21,56,14069,3335,0
7378,7379,8,56,3490,3490,0
5275,5276,3,38,6360,3360,0
6808,6809,21,54,10989,9489,0
3904,3905,36,61,7095,7330,0
7333,7334,7,72,6790,6790,0
7025,7026,14,79,11990,8282,0
1022,1023,4,56,13500,7327,0
5755,5756,2,39,7862,7862,1
1768,1769,3,37,6700,6700,0
3250,3251,22,54,8203,8203,0
5080,5081,28,54,10205,10205,0
4664,4665,18,56,7449,7449,0
655,656,4,55,5550,6109,0
576,577,6,28,9450,5794,0
1535,1536,22,47,11318,11318,0
3213,3214,3,35,7490,8078,0
527,528,0,46,8990,8938,1
712,713,12,73,12688,12688,0
6533,6534,6,49,5900,6499,0
5746,5747,23,46,6968,7503,0
3050,3051,16,37,7430,5430,0
5635,5636,1,23,5666,5666,1
1652,1653,15,60,5865,5865,0
4450,4451,11,50,6500,6128,0
6244,6245,2,45,5900,4296,1
3939,3940,7,37,6237,6999,1
5702,5703,16,62,9950,11553,1
7396,7397,18,44,5850,5850,0
6192,6193,18,35,7500,7000,0
5432,5433,1,59,9300,7689,0
2182,2183,0,54,7705,7705,0
1820,1821,1,56,10639,11396,0
4653,4654,2,32,6985,7544,1
1201,1202,18,39,14300,5800,0
681,682,18,57,10390,5674,0
6357,6358,2,44,4990,4052,0
6784,6785,32,59,13900,10283,0
1092,1093,27,52,17000,12696,0
4791,4792,26,52,9950,12973,0
2168,2169,2,31,3730,4061,0
5656,5657,33,53,6078,6957,0
3163,3164,35,55,13140,15372,0
6914,6915,2,67,15118,10394,0
808,809,22,80,6089,5602,0
7392,7393,39,62,15995,10995,0
763,764,15,49,15000,10000,0
6850,6851,1,64,9480,7619,0
4890,4891,44,61,3490,2617,0
1375,1376,0,61,5653,6128,0
4207,4208,44,63,9900,8900,0
7129,7130,22,65,9596,10497,0
2515,2516,18,56,15975,11676,0
2827,2828,15,57,8900,5493,0
4696,4697,35,65,7500,6561,0
6900,6901,33,55,6990,7658,0
3614,3615,0,32,6600,6600,0
5969,5970,19,49,11062,11062,0
221,222,8,54,8999,10364,0
506,507,19,60,7350,7500,0
5027,5028,2,45,5450,5450,0
5291,5292,15,77,9259,3259,0
553,554,4,43,4875,5685,0
3892,3893,29,49,21900,3833,1
