,ID,Job tenure,Age,Car price,Funding amount,Default (y)
1888,1889,26,66,4856,4856,0
1225,1226,15,46,11390,9254,0
6199,6200,0,37,7475,7475,0
259,260,0,26,5019,5548,1
3288,3289,27,52,11690,12728,0
2932,2933,12,55,11890,9890,0
1170,1171,4,63,13230,13230,0
5091,5092,17,49,5890,7217,0
318,319,17,56,8390,8926,0
1840,1841,10,70,6490,4990,0
5006,5007,28,60,13209,13209,0
3771,3772,16,71,14590,14590,1
