,Job tenure,Age,Car price,Default (y)
2648,1,28,23800,0
6234,6,49,7900,0
1373,8,68,8990,1
2370,3,47,25000,0
411,41,70,6200,1
5850,1,30,15985,1
6726,1,21,25990,0
3442,0,24,12500,1
5639,20,54,8000,1
4458,7,63,14295,1
5903,5,59,14023,1
4712,4,68,15590,1
6392,1,48,11990,1
2846,4,62,24980,1
7169,2,37,12490,1
2792,18,44,10990,1
4456,0,21,18300,0
7053,0,23,11890,1
5447,1,32,11300,1
6097,0,21,17990,1
5509,0,57,10300,1
3896,9,63,11508,1
4325,2,33,15990,1
178,6,29,35010,0
3575,9,57,9519,1
4301,0,45,22390,1
6150,1,55,6340,1
3381,1,23,19990,1
6470,0,52,10980,1
2716,8,73,26839,1
210,12,32,20016,1
3857,0,29,22000,1
4782,27,70,6850,1
5570,0,19,11900,1
3429,5,22,10500,1
5711,4,22,8000,1
4176,18,46,12500,1
981,4,37,1643,1
450,13,57,6077,1
4322,0,22,9990,1
1860,2,19,13990,1
183,0,34,28650,1
4742,0,18,6000,0
802,2,40,26490,1
6805,2,21,24800,1
4561,0,33,9500,1
101,1,40,15990,1
3527,16,45,7179,1
380,0,19,9999,1
5994,0,42,7200,1
4907,1,45,22145,1
5936,2,37,17890,1
4993,24,58,13130,1
705,1,19,23990,1
4553,2,29,12800,1
4098,1,41,12500,1
212,3,22,3990,1
4537,2,41,22329,0
6868,2,64,25800,0
381,2,62,28930,1
1238,2,24,7990,1
3459,1,23,9900,1
4424,2,33,22500,1
3323,4,26,20770,1
2438,2,19,26980,1
604,28,59,6475,1
6089,8,32,33500,0
765,12,30,9999,1
2750,6,33,13000,1
3879,0,64,4240,1
7045,15,46,16700,1
6932,1,25,7825,1
4714,2,46,14080,1
1862,3,26,24962,1
7359,1,35,10522,1
3481,3,26,24800,0
4559,1,44,13000,1
4913,0,21,10985,1
383,2,40,4700,1
3951,4,51,10950,1
4168,12,29,28900,0
3571,1,39,14600,1
3558,4,60,25900,1
1010,12,57,8490,1
50,1,19,18990,1
643,0,59,16125,1
447,4,47,6268,1
2780,2,22,26000,0
592,6,25,8500,1
4119,0,37,25400,1
5018,23,51,24900,1
2187,0,42,6690,1
4397,4,47,6717,1
2185,9,29,33670,0
4694,1,44,29900,0
5687,7,51,14490,1
6889,2,34,16480,1
4194,20,53,5990,1
5120,0,34,15714,1
2500,0,47,26800,0
3692,3,36,15890,1
1339,15,74,14090,1
2905,2,31,26877,0
636,0,19,19248,0
3881,3,23,6750,1
1732,4,40,18087,1
6553,1,36,13490,1
4172,2,20,13195,1
6364,3,20,10490,0
3717,5,46,9990,1
2110,0,53,12480,1
1684,17,44,30809,1
6924,1,49,28365,0
1006,0,47,8564,1
3487,4,40,20990,1
817,0,21,20500,1
494,0,56,14990,1
5819,4,43,6900,1
3639,2,57,10690,1
6258,3,26,14030,1
6866,3,19,7990,1
2784,5,46,7990,1
1805,1,19,9900,1
4587,2,39,7190,1
710,7,40,6490,1
1086,8,30,10990,1
5381,5,41,5990,1
7147,1,25,3300,1
2803,35,55,23596,1
582,2,42,7900,1
696,13,53,16760,1
5802,6,29,34990,0
5477,3,19,18990,1
179,1,20,16790,1
6201,2,38,25200,0
3047,1,30,7990,1
3903,3,27,9500,1
6341,3,67,7233,1
7262,4,68,4720,1
47,3,49,6166,1
4071,1,24,25500,1
6536,27,61,14060,1
4035,15,50,14950,1
5857,18,36,14550,1
4881,2,34,21950,0
1832,2,30,14700,1
6454,0,23,15990,1
5766,21,41,17305,1
2348,1,18,17964,1
6987,0,19,9000,0
857,0,22,13950,1
3341,1,37,24900,0
531,2,19,5000,1
6772,23,49,6990,1
3333,1,43,6000,1
4764,10,50,10590,1
5344,7,52,14200,1
5905,1,35,13730,1
1046,10,70,7190,1
6767,15,58,5037,1
6576,15,36,15040,1
7324,10,58,14980,1
3520,25,45,4300,1
1702,1,28,7656,1
5835,6,59,7500,0
2877,1,20,6400,1
3761,0,33,18990,1
1851,1,21,18500,1
