,Benchmark,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1
272,0.36473430973930415,0.04705722800037639,0.04757279467308123,0.14810969437366395,0.013713461240297353,0.1541253418499291,-0.00511447867737174,0.0028745737721304313,0.00610487368653225
284,0.7001983681972016,0.33187943512818,0.1027617389708781,0.2530999817864651,0.010558927362159118,0.09413074219236509,-4.716149689441493e-05,0.01783191375519483,0.005728028791051138
556,0.34285403196192404,0.07939218539271467,0.05017774695082059,0.11148309738964604,0.014727315939302047,0.16256007121639604,-0.006694373867373131,0.0036838667105764987,0.007270235061154129
127,0.32619981505576173,0.09804853268921626,0.09155558923750148,-0.028266967031966756,0.012094344756118092,0.2025821673931913,0.0010151998886537828,-0.005363131260319511,0.0035698799243142764
201,0.24315766777869166,0.17858619903784573,0.018799555955163534,0.23257733994859994,0.009217474633039803,-0.08367807211403977,0.010081007187107183,0.022369785792455375,0.005523175812594437
40,0.6478342274292656,0.2817381622784111,0.1280845094247139,0.2624766579825038,0.00704614815643542,0.07851274609567807,0.03672605062387445,0.01710514807474394,0.0070961620084751525
606,0.30081360301012905,0.09778306970362817,0.09607256488560503,-0.03159721582596348,0.01236127511870979,0.1982708879009452,0.011601322073570024,0.017291313442684274,-0.0035007301592717287
235,0.3408227206964984,0.17823359229452157,0.0774504415239577,-0.0317543271292332,0.009370467310060799,0.16181941455510343,0.006072461115713329,0.017375169899681915,-0.00895864381525701
16,0.31998589593460297,0.08292641859085668,0.0014608462352643401,0.13828009843827127,-0.0032884052218635873,0.190089676412819,-0.014057499724735181,0.005326364248242628,-0.010151735323054183
8,0.33590300443948273,0.1292298914267434,0.030435329595148882,0.049921285758773616,0.011255183829077786,0.16351923743291666,0.007265929814650522,0.016306716077690055,0.008196702474277822
312,0.34367483016921213,0.07922418916208261,-0.01960782201189528,0.15227011932649587,0.012083334349209591,0.17532093322257705,-0.007205918422086035,0.00015872673485036126,0.004505869485439446
389,0.373384011324951,0.10921024338035352,-0.0077448520388835335,0.13332546659352948,0.00746368774310659,0.1526814266996573,0.004495599821729438,-0.003239187798099644,0.0036660092027567042
449,0.6134236363378991,0.20778012364329268,0.07324796737808685,0.3520386089050788,-0.004187571803648162,0.06864800271854522,0.04266226587887032,0.011058617109748111,0.04774962695890371
315,0.3331289045716304,0.0361368383687389,0.07875097117782599,0.11507252672627784,-0.00030825339213930766,0.16906539914189586,0.02054195101422986,0.009290565810338453,0.004992970737402436
493,0.3300054673271026,0.19505201772464964,0.016210052617580697,0.005134437356185767,0.006919308088248024,0.18318375061471787,-0.022663763299477478,-0.01080990319796694,0.0045136706635911916
428,0.33166711944881516,0.09503412889397429,-0.018673728941484564,0.12823673361006102,0.010947590944715552,0.17201328335131189,0.011538433681452305,0.0017337429903775594,0.0039005215388973136
530,0.3012092208791279,-0.020378925429134862,0.15276530093449178,0.04870296853528306,0.014497889099167641,0.17910914849813114,0.01189330620537023,0.005919991803156723,0.008149348713370863
79,0.35527228979856407,0.1341967033471784,-0.010237440863201826,0.0833941286438432,0.011398222986883474,0.1669794181336973,0.007571464044326961,0.005575771495658321,0.004992254356424365
407,0.31592346919394665,0.13311236093630482,-0.025977728817803487,0.04992347506645037,0.013886507881575147,0.20155697231557734,-0.014312114373323512,0.0025492355966636737,0.0011805697966377237
512,0.36990029363894406,0.10514978658995587,0.0564099669506063,0.054398935044743364,0.011115930786129224,0.1575568669353335,0.006991464000832418,0.006173083765916024,0.005955047345709381
520,0.3698495681614019,0.07062028411368566,0.0576822577806047,0.10639992303720483,0.01004216571782295,0.14830693589829017,0.009520383386631396,-0.0008034479807779569,0.0053623964430662965
134,0.33383271031957307,0.07833812851444293,-0.0046796269580002305,0.10940030463423835,0.010097368534759354,0.1940944675981484,-0.0010365185249499645,-0.0012284047819514747,0.005028809821649656
359,0.329335666240294,0.038691020530906776,0.12727596371978822,0.00835731958577154,0.011988906851840743,0.18904065132079262,0.010480832711466381,0.006754767436396844,0.009818931678956947
57,0.6386850633510812,0.2868168362984576,0.1430083869099012,0.25805669589561253,-7.889070271770037e-05,0.0691127318327737,-0.0038696432236109473,0.02645848582766627,0.006571553095299128
155,0.2296489837135144,0.20294558155627168,0.04643991820343916,0.11368595083742225,0.062343302007919287,-0.05524072925506688,0.01917821767031333,0.029244365595881644,0.012281478404755825
232,0.3726551492569666,0.1073589456200915,0.026714572744515067,0.11873087020106758,0.012423530751526227,0.1477240977971705,-0.004946615263171085,0.001245823299484507,0.008607294030836998
188,0.2987575014120083,-0.037181003997255456,0.14339615097154193,0.06255389816827983,0.01408230639141856,0.17850576410895755,0.007217733158530288,0.002838268983809866,0.005581660850887381
