,Job tenure,Age,Car price,Funding amount,Default (y)
5216,1,64,6100,5400,0
3774,5,44,5500,5900,0
6723,5,31,19990,24490,0
1658,3,33,6990,5990,0
4816,0,33,10900,10995,0
6270,1,27,6300,4821,0
2622,0,37,9790,10616,0
3948,0,57,7300,7572,1
1830,1,23,7940,9430,0
3254,5,33,21920,23354,0
2960,1,38,10890,10841,0
4410,5,70,5425,5425,0
3246,3,48,4057,4057,0
2519,0,25,8000,8938,1
7305,5,41,6985,6736,1
4975,4,52,12500,13394,1
4395,5,59,9500,9937,1
879,5,48,3331,3331,0
6693,1,42,11990,11872,0
6645,0,33,9500,9500,1
7103,3,58,7795,7795,0
5041,0,18,11680,12557,1
5901,5,23,10450,10841,0
6966,6,25,7579,8541,1
3285,0,32,7590,4590,0
2663,0,66,12058,10674,0
334,0,39,13990,13990,0
4149,0,49,16450,16450,0
2280,2,52,10500,8992,0
2727,1,44,11700,12721,1
3172,1,56,27000,27000,1
3388,0,21,8990,10224,1
2880,2,18,14010,16122,1
6264,0,19,6450,7171,1
5960,2,32,16260,16260,0
6000,5,31,21895,24053,1
5537,0,26,19886,23192,0
6234,6,49,7900,7900,0
1373,8,68,8990,8990,1
2627,5,36,3612,3907,0
6350,7,70,8209,8462,0
48,3,61,9710,9220,0
3535,0,22,14150,11038,0
6533,6,49,5900,6499,0
1330,2,37,16110,18266,0
5302,0,29,19414,22300,0
7233,6,23,8990,8469,0
6990,2,43,5924,6423,0
5850,1,30,15985,18442,1
3939,7,37,6237,6999,1
1044,0,27,3500,3500,0
6726,1,21,25990,25990,0
3442,0,24,12500,10500,1
5294,2,51,8499,9206,0
4458,7,63,14295,15583,1
3350,2,55,13900,15251,0
5903,5,59,14023,14023,1
1688,2,48,16000,15500,0
5696,6,35,17000,18834,0
4979,2,23,11820,10633,0
2346,4,63,6940,6458,0
3524,1,56,5000,4700,0
5078,2,51,5300,5300,0
2480,0,56,13462,14344,0
1489,1,26,5150,3998,0
2984,3,48,14777,16998,0
4712,4,68,15590,18706,1
2846,4,62,24980,26146,1
794,3,64,10700,10700,0
3437,4,26,8726,8726,0
6107,0,50,10990,8329,0
102,3,22,6600,2764,0
789,9,48,7990,7990,0
5519,0,26,10001,10001,0
7169,2,37,12490,14129,1
6017,7,67,21250,21250,0
4456,0,21,18300,19359,0
3499,5,66,15990,19138,0
6309,8,35,9250,9714,0
1507,2,22,7990,7990,0
2406,1,32,7650,8305,0
4813,1,27,10200,7753,0
5438,5,65,9990,7490,0
7053,0,23,11890,12948,1
5447,1,32,11300,10551,1
6856,6,42,12900,13990,0
6097,0,21,17990,19725,1
3834,0,49,13327,12327,0
1511,10,74,3860,2663,0
5509,0,57,10300,9710,1
2521,7,43,10700,11853,0
2351,5,36,13684,13927,0
3896,9,63,11508,11508,1
4325,2,33,15990,17661,1
3575,9,57,9519,10845,1
2860,7,30,5990,5888,0
5620,4,38,6990,4990,0
3336,8,54,10490,11367,0
1128,2,28,7200,7200,0
209,4,25,7154,7749,0
4301,0,45,22390,22390,1
6150,1,55,6340,7455,1
2858,5,49,15700,14950,0
6851,7,70,13690,13600,0
3381,1,23,19990,19990,1
2707,3,61,15700,15700,0
6470,0,52,10980,10980,1
3857,0,29,22000,24031,1
2807,5,26,10200,12113,0
2884,4,38,21180,20142,0
122,5,31,16110,15870,0
5570,0,19,11900,11900,1
5218,6,42,9990,10124,0
3429,5,22,10500,8149,1
5711,4,22,8000,8130,1
912,8,48,1501,1598,0
6761,8,50,6194,6680,0
981,4,37,1643,1643,1
4013,4,53,11490,9768,0
2776,7,48,21383,23432,0
5650,6,57,15627,14007,0
4322,0,22,9990,11385,1
1860,2,19,13990,14237,1
183,0,34,28650,26973,1
6306,6,34,20081,22174,0
834,4,70,11974,11974,0
5327,0,24,6114,6864,0
4742,0,18,6000,2000,0
3734,4,49,5570,5570,0
802,2,40,26490,29146,1
6805,2,21,24800,26756,1
433,3,23,4490,4275,0
1349,4,36,6560,6690,0
2236,3,67,12990,11590,0
410,6,29,19890,19890,0
637,0,44,11950,11950,0
4561,0,33,9500,10562,1
5521,4,27,10970,10290,0
101,1,40,15990,14990,1
3668,0,25,21495,21495,0
2582,5,49,10407,10582,0
380,0,19,9999,10882,1
1973,9,55,8977,9470,0
5994,0,42,7200,8025,1
3764,5,49,9690,9470,0
4907,1,45,22145,22145,1
4787,4,44,16000,16000,0
5284,6,66,15125,12939,0
5936,2,37,17890,16790,1
5612,8,53,13409,15271,0
5202,3,35,6710,8228,0
705,1,19,23990,24105,1
4553,2,29,12800,14209,1
6826,0,43,10420,10334,0
6727,2,34,17589,18379,0
3349,3,41,8968,9865,0
5574,3,44,4716,4716,0
6957,2,43,19340,19340,0
982,4,36,17140,15940,0
2045,0,26,9325,9450,0
6753,6,28,11318,12367,0
4098,1,41,12500,13965,1
4793,4,41,9710,6800,0
1566,2,57,13744,14698,0
212,3,22,3990,4290,1
2231,7,37,7079,7276,0
4537,2,41,22329,26658,0
7237,6,47,12450,10924,0
1807,0,48,7900,8331,0
6837,2,65,5254,5590,0
7029,1,29,3798,1911,0
5634,5,40,8990,8000,0
413,3,21,8990,8478,0
6733,6,32,11970,11005,0
1238,2,24,7990,9220,1
428,7,29,6990,6636,0
1228,2,65,11600,10455,0
1109,4,47,14950,12950,0
272,6,28,14690,14690,0
3459,1,23,9900,9900,1
1813,6,43,12300,12276,0
75,4,23,9000,8591,0
1038,3,41,7890,8958,0
5701,5,61,14490,14490,0
4424,2,33,22500,22500,1
3323,4,26,20770,20658,1
2438,2,19,26980,29191,1
1988,3,35,11250,11452,0
2879,1,28,20039,21680,0
5888,5,36,24783,27112,0
3968,0,52,8000,5364,0
5660,7,27,8160,9340,0
4381,0,30,20950,22352,0
6478,3,65,12700,11200,0
4043,2,57,9950,9950,0
516,0,33,6335,6822,0
2750,6,33,13000,12510,1
5638,1,66,16500,18576,0
6513,1,35,8802,7900,0
3879,0,64,4240,4832,1
2531,3,37,20922,24245,0
1427,2,27,14250,12050,0
6932,1,25,7825,8562,1
4714,2,46,14080,15272,1
251,3,36,18470,20098,0
1862,3,26,24962,24962,1
4295,1,26,11390,12331,0
6985,1,65,9985,8485,0
5027,2,45,5450,5450,0
7359,1,35,10522,11363,1
693,1,35,10900,9900,0
6699,2,26,17650,15150,0
3481,3,26,24800,24800,0
4559,1,44,13000,11952,1
2770,1,51,7990,4990,0
1251,3,27,19390,17360,0
5082,0,42,14500,12384,0
4913,0,21,10985,11487,1
383,2,40,4700,5350,1
2453,7,27,11130,8630,0
3573,3,56,8000,8374,0
353,0,50,5850,6356,0
3951,4,51,10950,9450,1
333,0,34,14160,14160,0
5631,9,40,22900,24093,0
4634,2,60,17067,15154,0
3571,1,39,14600,14600,1
50,1,19,18990,20450,1
6315,1,32,9990,9140,0
643,0,59,16125,17111,1
7087,0,61,6500,6500,0
447,4,47,6268,7037,1
3058,0,23,12600,13705,0
4935,3,66,17900,19003,0
592,6,25,8500,8500,1
4119,0,37,25400,28502,1
7140,8,68,14400,14400,0
7409,2,22,7240,7240,0
787,1,27,5980,4980,0
5525,1,58,18390,19471,0
2187,0,42,6690,7507,1
4397,4,47,6717,7504,1
6012,3,26,7650,9225,0
756,2,67,13680,11680,0
6637,6,31,13070,11070,0
6393,6,30,13992,15090,0
1729,1,55,8010,5113,0
5687,7,51,14490,14919,1
6889,2,34,16480,15480,1
3660,0,48,13000,14116,0
5153,1,54,9490,9490,0
4047,9,37,4000,3759,0
5220,4,21,12800,13986,0
279,5,32,11490,11490,0
3096,1,51,15990,15990,0
5120,0,34,15714,15003,1
700,0,53,13590,13490,0
4614,1,42,18400,17698,0
3692,3,36,15890,17035,1
807,1,24,11289,11812,0
2118,7,37,7200,6591,0
6846,0,23,8800,6264,0
107,0,45,16300,16300,0
2228,1,60,8880,6880,0
636,0,19,19248,19248,0
1375,0,61,5653,6128,0
3915,1,56,7975,8586,0
3881,3,23,6750,7073,1
1732,4,40,18087,18087,1
4984,9,48,9425,9575,0
1450,2,56,15560,15250,0
6553,1,36,13490,14983,1
4172,2,20,13195,16129,1
6364,3,20,10490,9076,0
1926,8,24,8453,9166,0
2314,0,21,8500,8924,0
6649,7,30,13300,13544,0
1226,2,33,6800,5260,0
7121,8,55,4200,4526,0
1411,8,69,3900,4743,0
3717,5,46,9990,9990,1
1417,7,44,22440,24281,0
2706,1,27,15185,12185,0
99,3,37,9990,8052,0
2110,0,53,12480,12480,1
3213,3,35,7490,8078,0
6864,3,57,14990,15749,0
2329,0,23,13400,14430,0
2092,4,28,5500,5404,0
6475,7,65,16000,16000,0
5206,3,68,16289,14789,0
5825,2,22,12150,12512,0
6924,1,49,28365,27800,0
1006,0,47,8564,9626,1
3487,4,40,20990,20990,1
817,0,21,20500,20500,1
494,0,56,14990,14990,1
3765,9,64,9900,9900,0
5819,4,43,6900,7525,1
1966,0,23,17495,17495,0
3639,2,57,10690,10690,1
5322,0,38,4550,4892,0
3467,6,50,8200,8816,0
6501,5,62,10400,9827,0
6258,3,26,14030,14598,1
6866,3,19,7990,5000,1
2784,5,46,7990,9281,1
1805,1,19,9900,9490,1
4991,4,49,12840,12637,0
4587,2,39,7190,5190,1
710,7,40,6490,7315,1
4022,2,50,11073,11073,0
5381,5,41,5990,6635,1
7147,1,25,3300,3544,1
1905,4,34,16750,15050,0
4379,1,44,12487,11429,0
3551,1,44,11770,11735,0
1359,4,33,16989,14589,0
1473,1,46,17611,17611,0
2029,7,28,6975,7843,0
1183,0,54,8000,8765,0
5665,1,40,10078,11194,0
3504,2,40,9625,10436,0
1922,4,55,18620,21884,0
582,2,42,7900,8584,1
6403,0,33,5200,4839,0
5487,0,26,12000,12000,0
7420,0,36,13900,13900,0
5477,3,19,18990,20281,1
896,0,51,15500,15500,0
179,1,20,16790,18821,1
3047,1,30,7990,7324,1
6341,3,67,7233,7233,1
4241,5,34,9266,9266,0
4603,0,56,11895,13296,0
4391,4,34,8650,8650,0
7262,4,68,4720,4366,1
47,3,49,6166,6841,1
4071,1,24,25500,25810,1
5180,5,49,4900,4648,0
4761,1,63,16450,18180,0
7404,8,69,4989,4989,0
3184,2,39,18219,18219,0
4747,3,30,12790,9630,0
2952,2,67,8980,8980,0
5187,7,28,6701,4701,0
7113,7,43,11990,13186,0
221,8,54,8999,10364,0
2640,3,39,12570,12396,0
3402,8,51,11130,12433,0
3614,0,32,6600,6600,0
3886,1,52,16800,17941,0
4881,2,34,21950,21950,0
6675,5,54,7590,4620,0
288,7,55,11390,11390,0
1832,2,30,14700,17351,1
6454,0,23,15990,15579,1
2796,0,55,10400,9400,0
4267,3,53,13489,11098,0
2008,5,57,15550,17733,0
5140,1,58,15740,13280,0
5119,0,43,9260,10197,0
5704,1,34,17500,17500,0
5609,5,50,7685,8342,0
4883,8,73,14914,14914,0
564,3,25,9000,7000,0
2114,0,31,17000,15641,0
6147,0,25,10990,10100,0
6322,3,44,9250,7722,0
5758,1,57,7900,8057,0
5738,1,42,18485,18585,0
2462,1,32,6000,6000,0
2348,1,18,17964,17797,1
2548,0,25,12105,13167,0
2970,4,27,14990,14600,0
1498,9,37,11007,11007,0
6987,0,19,9000,10155,0
857,0,22,13950,15914,1
3341,1,37,24900,26597,0
2487,0,22,9600,8600,0
5391,2,46,5200,5584,0
45,1,22,8500,8500,0
5498,1,23,7970,7970,0
531,2,19,5000,5455,1
6273,0,21,8690,7330,0
5594,3,40,12990,12025,0
3333,1,43,6000,2693,1
426,5,24,9490,9768,0
429,0,38,11199,11510,0
5344,7,52,14200,15727,1
5905,1,35,13730,15520,1
1496,6,31,14590,14590,0
5579,4,54,15600,14600,0
1859,8,34,4000,4000,0
7079,7,29,5990,7196,0
1175,1,50,6350,6350,0
6219,8,54,6990,7277,0
1702,1,28,7656,8354,1
2836,4,62,21500,21500,0
110,3,30,6012,6456,0
1106,1,51,18747,19537,0
6601,0,31,11729,10573,0
5835,6,59,7500,7991,0
3187,0,28,9300,6818,0
3624,1,22,6008,6684,0
4246,5,44,2229,2251,0
2877,1,20,6400,6940,1
3761,0,33,18990,18990,1
1851,1,21,18500,19363,1
6144,7,72,6900,6900,1
2251,5,27,23999,23999,1
7111,0,35,8850,9833,0
5101,0,22,7900,7408,0
5266,0,21,6350,7254,0
6911,3,60,6849,5731,0
322,7,57,15990,17518,1
5252,1,36,13250,12423,0
