,Benchmark,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration
count,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0
mean,0.49367910762990386,0.014584894748054982,-0.0022782512014439074,0.29775677751574386,0.12328439170334332,0.00947474364182949,0.06349833596256829
std,0.2753195436797883,0.024196757570453684,0.012203298641356794,0.16962043257676865,0.07390291569833113,0.037854152005152374,0.06168199651574614
min,0.3312291302273811,-0.0599145863147294,-0.0493049239412731,0.0908899931096624,-0.0137552340064663,-0.1325769067684316,-0.0826713043939153
25%,0.3312291302273811,-0.0046578417342449,-0.0077788466634865,0.1912103408066996,0.0772379816611013,0.0053185456087347,0.0272832988816452
50%,0.3312291302273811,0.0199703185456087,-0.0033544283669899,0.2086097153760535,0.0851405098849843,0.0056887157470715,0.0573934382784756
75%,0.9599252663380504,0.0252830338686595,0.0022878836062967,0.4406763926432394,0.1284129167329199,0.0062139979859012,0.0673183335983462
max,0.9599252663380504,0.103746621084433,0.0600683468489955,0.8634699475274288,0.3428156569671912,0.4822786081517994,0.3684197805692478
