Dataset,Model Type,Train Sample Count,Train Feature Count,Baseline Model Train Score,Baseline Model Test Score,Baseline Model Full Test Eval,Baseline Model Full Train Eval,XPER-Based Cluster Count,XPER-Based Silhouette Score,Train XPER Cluster Results,Feature-Based Cluster Count,Feature-Based Silhouette Score,Train Feature Cluster Results,Train Error Cluster Results,Test XPER Cluster Results,Test Feature Cluster Results,Test Error Cluster Results,Computation Time (s)
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.19702143144119566,"{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': 1.0, 'Recall (TPR)': 1.0, 'F1 Score': 1.0, 'Log Loss': 0.0031693395300235673, 'Brier Score': 0.0004520804072326099, 'Cluster Size': 1602, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.9999697656840514, 'Accuracy': 0.9949937421777222, 'Precision': 0.9962825278810409, 'Recall (TPR)': 0.9745454545454545, 'F1 Score': 0.9852941176470589, 'Log Loss': 0.01936863054489688, 'Brier Score': 0.003740310763979703, 'Cluster Size': 1598, 'Pure Cluster': False, 'Cluster ID': 1}}",2,0.25817699658542237,"{0: {'AUC Score': 0.8624102911306704, 'Accuracy': 0.7640677966101694, 'Precision': 0.8913043478260869, 'Recall (TPR)': 0.19523809523809524, 'F1 Score': 0.3203125, 'Log Loss': 0.49088565794803074, 'Brier Score': 0.158693232767961, 'Cluster Size': 1475, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8997063637238857, 'Accuracy': 0.8718840579710145, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.3151169205154032, 'Brier Score': 0.09141629432660166, 'Cluster Size': 1725, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.99984826140766, 'Accuracy': 0.9887583035258048, 'Precision': 1.0, 'Recall (TPR)': 0.9656786271450858, 'F1 Score': 0.9825396825396825, 'Log Loss': 0.061739894796813154, 'Brier Score': 0.01205725375974548, 'Cluster Size': 1957, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 1243, 'Pure Cluster': True, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 0.9942028985507246, 'Precision': 1.0, 'Recall (TPR)': 0.9753086419753086, 'F1 Score': 0.9875, 'Log Loss': 0.019122287311392257, 'Brier Score': 0.005209353762729448, 'Cluster Size': 345, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.973986891031701, 'Accuracy': 0.9186813186813186, 'Precision': 0.7474747474747475, 'Recall (TPR)': 0.8604651162790697, 'F1 Score': 0.8, 'Log Loss': 0.22541215565619563, 'Brier Score': 0.061797294936864505, 'Cluster Size': 455, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.7432920536635707, 'Accuracy': 0.7253886010362695, 'Precision': 0.6666666666666666, 'Recall (TPR)': 0.14035087719298245, 'F1 Score': 0.2318840579710145, 'Log Loss': 0.5469995022329192, 'Brier Score': 0.1831292424400403, 'Cluster Size': 386, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.637328176449067, 'Accuracy': 0.8719806763285024, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.3758615272394769, 'Brier Score': 0.11088914872540784, 'Cluster Size': 414, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.9390047491224448, 'Accuracy': 0.9037199124726477, 'Precision': 0.9555555555555556, 'Recall (TPR)': 0.7724550898203593, 'F1 Score': 0.8543046357615894, 'Log Loss': 0.2757547445898034, 'Brier Score': 0.07457340385808275, 'Cluster Size': 457, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 343, 'Pure Cluster': True, 'Cluster ID': 1}}",12.21
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.5648849458327402,"{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 352, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9235583482410272, 'Accuracy': 0.9073033707865169, 'Precision': 0.8787878787878788, 'Recall (TPR)': 0.10034602076124567, 'F1 Score': 0.18012422360248448, 'Log Loss': 0.21249592085606275, 'Brier Score': 0.06300410651011869, 'Cluster Size': 2848, 'Pure Cluster': False, 'Cluster ID': 1}}",2,0.29866082637254643,"{0: {'AUC Score': 0.8965918203688852, 'Accuracy': 0.8328816621499548, 'Precision': 0.8523489932885906, 'Recall (TPR)': 0.4379310344827586, 'F1 Score': 0.5785876993166287, 'Log Loss': 0.3781438082221444, 'Brier Score': 0.11835329887185571, 'Cluster Size': 1107, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8575040641630767, 'Accuracy': 0.8504538939321548, 'Precision': 0.8392857142857143, 'Recall (TPR)': 0.1339031339031339, 'F1 Score': 0.23095823095823095, 'Log Loss': 0.3393377341512255, 'Brier Score': 0.10403675889866446, 'Cluster Size': 2093, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 616, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9990855803048067, 'Accuracy': 0.9903250773993808, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.06077734454599259, 'Brier Score': 0.007046278476202385, 'Cluster Size': 2584, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 68, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.7296822889239951, 'Accuracy': 0.8633879781420765, 'Precision': 0.4, 'Recall (TPR)': 0.020202020202020204, 'F1 Score': 0.038461538461538464, 'Log Loss': 0.36845928134339834, 'Brier Score': 0.10967719165467357, 'Cluster Size': 732, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.8357872596153846, 'Accuracy': 0.8088235294117647, 'Precision': 0.7, 'Recall (TPR)': 0.328125, 'F1 Score': 0.44680851063829785, 'Log Loss': 0.41694735967604457, 'Brier Score': 0.13310634872216778, 'Cluster Size': 272, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.6920388349514563, 'Accuracy': 0.7897727272727273, 'Precision': 0.25, 'Recall (TPR)': 0.038834951456310676, 'F1 Score': 0.06722689075630252, 'Log Loss': 0.46496190586901814, 'Brier Score': 0.15015125840526722, 'Cluster Size': 528, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 161, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9944707740916272, 'Accuracy': 0.9906103286384976, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.06548277308563234, 'Brier Score': 0.008678089030440832, 'Cluster Size': 639, 'Pure Cluster': False, 'Cluster ID': 1}}",3.73
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.4972660651126358,"{0: {'AUC Score': 0.9589924838940586, 'Accuracy': 0.8796680497925311, 'Precision': 0.8795013850415513, 'Recall (TPR)': 1.0, 'F1 Score': 0.9358879882092852, 'Log Loss': 0.24202032223418968, 'Brier Score': 0.06927794176909131, 'Cluster Size': 723, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.9991906110886281, 'Accuracy': 0.9979814291481631, 'Precision': 1.0, 'Recall (TPR)': 0.16666666666666666, 'F1 Score': 0.2857142857142857, 'Log Loss': 0.0058655907785561115, 'Brier Score': 0.0015488308199879102, 'Cluster Size': 2477, 'Pure Cluster': False, 'Cluster ID': 1}}",2,0.16604319638725049,"{0: {'AUC Score': 0.895016586939389, 'Accuracy': 0.9022508038585209, 'Precision': 1.0, 'Recall (TPR)': 0.02564102564102564, 'F1 Score': 0.05, 'Log Loss': 0.23737727879757828, 'Brier Score': 0.0686405576781886, 'Cluster Size': 1555, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8215535015997156, 'Accuracy': 0.7689969604863222, 'Precision': 0.7868852459016393, 'Recall (TPR)': 0.29690721649484536, 'F1 Score': 0.4311377245508982, 'Log Loss': 0.4814907180858341, 'Brier Score': 0.15628776476152448, 'Cluster Size': 1645, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 631, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9999218444704963, 'Accuracy': 0.9992214869599065, 'Precision': 1.0, 'Recall (TPR)': 0.8, 'F1 Score': 0.8888888888888888, 'Log Loss': 0.0022969615065699797, 'Brier Score': 0.0005117691299377861, 'Cluster Size': 2569, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.8470016429353779, 'Accuracy': 0.7904761904761904, 'Precision': 0.7904761904761904, 'Recall (TPR)': 1.0, 'F1 Score': 0.8829787234042553, 'Log Loss': 0.43368728851147587, 'Brier Score': 0.1415018732148732, 'Cluster Size': 210, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.47453310696095075, 'Accuracy': 0.9983050847457627, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.016022715008534298, 'Brier Score': 0.0018825146374444822, 'Cluster Size': 590, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.6655172413793103, 'Accuracy': 0.9033942558746736, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.2985577830091153, 'Brier Score': 0.08377385577163234, 'Cluster Size': 383, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.6770069112174375, 'Accuracy': 0.7122302158273381, 'Precision': 0.65, 'Recall (TPR)': 0.19696969696969696, 'F1 Score': 0.3023255813953488, 'Log Loss': 0.580140374827696, 'Brier Score': 0.19594879614323696, 'Cluster Size': 417, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 164, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.996313849394418, 'Accuracy': 0.9921383647798742, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.014396768702103704, 'Brier Score': 0.005004189153796207, 'Cluster Size': 636, 'Pure Cluster': False, 'Cluster ID': 1}}",3.97
