,Benchmark,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes
272,0.3759169831355269,0.05984261280748186,0.047948950292874985,0.1343891805208653,0.016371540482079765,0.15465921980382719,0.0004406523887951622
284,0.7135636039467463,0.3828293064265877,0.10282554595320303,0.2073109205087833,0.016099550826279403,0.09586400844792001,0.008083837641624611
556,0.32808136983882147,0.08629866020641358,0.04014957142194773,0.09525340399697053,0.01878215763313106,0.17419304373740502,-0.004614979434569967
127,0.32824679966915293,0.121928124981101,0.07573257414944583,-0.03230131983628304,0.01396213706434115,0.1948047006505276,0.002503881426738874
201,0.22735310483655538,0.1814384310468446,0.03254963539283295,0.21068698901407548,0.007575585767015619,-0.07806204755885889,0.006967538975538601
40,0.6325578189037822,0.2361314631928863,0.12627762440220472,0.31573571221702756,0.0057763626235320656,0.06775269339601431,0.023371804059597767
606,0.30434477250417724,0.08447934536684817,0.11602847393152822,-0.04472787847144542,0.014965751721737438,0.19750270381144194,0.0030408555232341104
235,0.34321819103723006,0.16904195535880473,0.10031977043053339,-0.04513875869604236,0.01101956034127666,0.1645104295389595,0.004259720953891883
16,0.3230100859352983,0.08365407811033232,0.0043192778815959836,0.12698560890270433,0.0031333302423032076,0.18811117141979766,-0.006190312879449113
8,0.3173835367446506,0.14589407459596546,0.025149625178994082,0.03723348684329879,0.013220688802474408,0.17851493807524257,0.006082781987626456
312,0.33494712808105315,0.07405207428283056,-0.015093055127179136,0.14730065711269538,0.015764736822300115,0.17705128489420294,0.003164509329199439
389,0.3728115774961606,0.11668726653482754,-0.004737486703530647,0.12467609699652657,0.009877391096623597,0.15509133406174144,0.00544795746742488
449,0.5996896994666706,0.1637290960685456,0.2148797698459254,0.34387752599321164,0.0028462550153645423,0.06157474883700002,0.034543782426418354
315,0.32632516796661365,0.01205702513881081,0.07432611342602381,0.1313426595089158,-0.00463916590566848,0.17952908575391247,0.01657099172343074
493,0.3230888546001335,0.18034696141655196,0.037408571023473655,-0.0018456431929805637,0.008876212305391111,0.18055161197223188,-0.01809446221786793
428,0.3302662792510128,0.12763446065219392,-0.008515498324460163,0.09427875094830775,0.014352686206009088,0.17265727211884085,0.011059008773821861
530,0.30009577092482376,-0.035694657792722316,0.16357655624969333,0.03999030777252964,0.013611830111606379,0.18491724270701682,0.009164681855720032
79,0.3504714285737409,0.12767986855730198,-0.0005825751909887403,0.09492086206815435,0.015429582637011618,0.16655943395846068,0.007083041029393638
407,0.31928161601862676,0.12224851277771398,-0.016746197696913743,0.04809539624654851,0.016438892181507944,0.1935595194657626,-0.008073644801660044
512,0.3679353492696589,0.09756102180721782,0.0715722659334205,0.05592248099520401,0.015670032025760387,0.16135776355903914,0.006105532137642191
520,0.3720986700384107,0.07120911188655649,0.06768390117573372,0.09912456649981806,0.013164651281400012,0.15357140397278016,0.008109300842574487
134,0.3310748310887142,0.06968622096027559,0.008966074767987837,0.09013993295152374,0.010860141300396406,0.19658541541093585,-0.0005861491946186734
359,0.31921790766500396,0.028761439331477325,0.15150950626168788,0.010397276332049083,0.014864003912169084,0.18949510458097404,0.013860019675078883
57,0.6368575837377951,0.3319537931307902,0.16865445944937985,0.19697315490697656,-0.006534030394234035,0.06003054408178625,-0.006474204681297936
155,0.2093289361491804,0.14548061151328104,0.05980646119379619,0.17587331681648075,0.08882628292871078,-0.04326127705239354,0.018982171643561276
232,0.3767134580309446,0.10108600993027034,0.031500780821098515,0.11683990714814146,0.015651473245453993,0.15242952451220532,-0.001796812475935322
188,0.29058605622950756,-0.01903288805699862,0.12652913178338324,0.04397213419505867,0.01368354117151385,0.1893484612381459,0.0009888356694129038
602,0.3305465853389261,0.21319648553229895,-0.010593325760309498,-0.010185423172109357,0.00724188470188698,0.17823045410592978,-0.0017478221676588241
55,0.3671329904055591,0.0417300789825404,0.07701637221244509,0.11110366492023446,0.013599096411246821,0.158804337454483,0.0116450487744401
271,0.31986085677676407,0.08844417532323104,0.006338745323976867,0.07860882811654782,0.009711983184795889,0.19612812773614982,0.007243589808201555
211,0.7409627041656203,0.1455112278310981,-0.04293386304182912,0.1893943983141786,0.0210061496381142,0.5561558537727704,0.019278196578767125
492,0.33311013429751113,0.12611641625962508,0.005868287172829561,0.09079888934582361,0.014382962342517078,0.17759885080874124,-0.00031722537036925303
432,0.31469097271408575,0.07431749549952726,0.04877471312216212,0.11649446772796505,0.013012300452163974,0.17505638190215286,-0.010235505420390196
460,0.34110207568463397,0.044147508159311684,0.1490561690578472,0.05630859938031558,0.021170860388246882,0.14404137579064866,0.011049437499705956
467,0.35548427192179866,0.15107945829024372,-0.0024956330799361134,0.0665629743639364,0.009332920412020844,0.17090865199502495,0.011808151012950697
180,0.7933061695201286,0.12832994663941197,-0.02453329644256036,-0.010078471848443042,-0.0034227447407130505,0.6376902621462368,-0.016663806623808817
126,0.3045894896861735,0.025262708165762513,0.045632197984513866,0.12300626874357007,0.012890284556205311,0.1833873507653997,0.013650925763534836
243,0.35899357274181093,-0.00377913295931867,0.12600195154877403,0.06231429460339722,0.005178407877557581,0.18234456486022846,0.00841179342242216
331,0.34057445346263043,0.10898378519490629,-0.012411599057101461,0.10276253261540785,0.014786102392390208,0.18233772343612364,-0.008963307120053589
230,0.36043964587271043,0.06591882635600468,0.08338171887483799,0.095764864495285,0.017954765293375714,0.15587230215223066,0.01448036759068304
59,0.3183182619126584,0.032204431159734336,0.09745330612554816,0.07046367384390416,0.01627960333347449,0.1825012288524821,0.010024164632298384
515,0.34485130227107014,0.034449669797342625,0.15555555975532476,0.04637487677877011,0.016898670319457975,0.16148576412617596,0.010756667385667117
