Dataset,Model Type,Train Sample Count,Train Feature Count,Baseline Model Train Score,Baseline Model Test Score,Baseline Model Full Test Eval,Baseline Model Full Train Eval,XPER-Based Cluster Count,XPER-Based Silhouette Score,Train XPER Cluster Results,Feature-Based Cluster Count,Feature-Based Silhouette Score,Train Feature Cluster Results,Train Error Cluster Results,Test XPER Cluster Results,Test Feature Cluster Results,Test Error Cluster Results,Computation Time (s)
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.19754656219989514,"{0: {'AUC Score': 0.9999955373479352, 'Accuracy': 0.9987654320987654, 'Precision': 0.9971751412429378, 'Recall (TPR)': 0.9971751412429378, 'F1 Score': 0.9971751412429378, 'Log Loss': 0.005906527695313291, 'Brier Score': 0.0010931767177313827, 'Cluster Size': 1620, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': 1.0, 'Recall (TPR)': 1.0, 'F1 Score': 1.0, 'Log Loss': 0.003779673344117566, 'Brier Score': 0.0003701418130297431, 'Cluster Size': 1580, 'Pure Cluster': False, 'Cluster ID': 1}}",2,0.25817699658542237,"{0: {'AUC Score': 0.8624102911306704, 'Accuracy': 0.7640677966101694, 'Precision': 0.8913043478260869, 'Recall (TPR)': 0.19523809523809524, 'F1 Score': 0.3203125, 'Log Loss': 0.49088565794803074, 'Brier Score': 0.158693232767961, 'Cluster Size': 1475, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8997063637238857, 'Accuracy': 0.8718840579710145, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.3151169205154032, 'Brier Score': 0.09141629432660166, 'Cluster Size': 1725, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.99984826140766, 'Accuracy': 0.9887583035258048, 'Precision': 1.0, 'Recall (TPR)': 0.9656786271450858, 'F1 Score': 0.9825396825396825, 'Log Loss': 0.061739894796813154, 'Brier Score': 0.01205725375974548, 'Cluster Size': 1957, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 1243, 'Pure Cluster': True, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': 1.0, 'Recall (TPR)': 1.0, 'F1 Score': 1.0, 'Log Loss': 0.0037335613347048305, 'Brier Score': 0.0006102112285138545, 'Cluster Size': 367, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.9902996478639292, 'Accuracy': 0.9468822170900693, 'Precision': 0.8137254901960784, 'Recall (TPR)': 0.9540229885057471, 'F1 Score': 0.8783068783068783, 'Log Loss': 0.18127452318442275, 'Brier Score': 0.04509965730226099, 'Cluster Size': 433, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.7432920536635707, 'Accuracy': 0.7253886010362695, 'Precision': 0.6666666666666666, 'Recall (TPR)': 0.14035087719298245, 'F1 Score': 0.2318840579710145, 'Log Loss': 0.5469995022329192, 'Brier Score': 0.1831292424400403, 'Cluster Size': 386, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.637328176449067, 'Accuracy': 0.8719806763285024, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.3758615272394769, 'Brier Score': 0.11088914872540784, 'Cluster Size': 414, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.9390047491224448, 'Accuracy': 0.9037199124726477, 'Precision': 0.9555555555555556, 'Recall (TPR)': 0.7724550898203593, 'F1 Score': 0.8543046357615894, 'Log Loss': 0.2757547445898034, 'Brier Score': 0.07457340385808275, 'Cluster Size': 457, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 343, 'Pure Cluster': True, 'Cluster ID': 1}}",8.63
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.5671815010834912,"{0: {'AUC Score': 0.8970984759671747, 'Accuracy': 0.8968824940047961, 'Precision': 0.7920792079207921, 'Recall (TPR)': 0.2222222222222222, 'F1 Score': 0.3470715835140998, 'Log Loss': 0.2470798419774765, 'Brier Score': 0.07474896386609094, 'Cluster Size': 2919, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 281, 'Pure Cluster': True, 'Cluster ID': 1}}",2,0.29866082637254643,"{0: {'AUC Score': 0.8965918203688852, 'Accuracy': 0.8328816621499548, 'Precision': 0.8523489932885906, 'Recall (TPR)': 0.4379310344827586, 'F1 Score': 0.5785876993166287, 'Log Loss': 0.3781438082221444, 'Brier Score': 0.11835329887185571, 'Cluster Size': 1107, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8575040641630767, 'Accuracy': 0.8504538939321548, 'Precision': 0.8392857142857143, 'Recall (TPR)': 0.1339031339031339, 'F1 Score': 0.23095823095823095, 'Log Loss': 0.3393377341512255, 'Brier Score': 0.10403675889866446, 'Cluster Size': 2093, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 616, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9990855803048067, 'Accuracy': 0.9903250773993808, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.06077734454599259, 'Brier Score': 0.007046278476202385, 'Cluster Size': 2584, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.7809083728278041, 'Accuracy': 0.8703956343792633, 'Precision': 0.6190476190476191, 'Recall (TPR)': 0.13, 'F1 Score': 0.21487603305785125, 'Log Loss': 0.33753319738201426, 'Brier Score': 0.09997993608437375, 'Cluster Size': 733, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 67, 'Pure Cluster': True, 'Cluster ID': 1}}","{0: {'AUC Score': 0.8357872596153846, 'Accuracy': 0.8088235294117647, 'Precision': 0.7, 'Recall (TPR)': 0.328125, 'F1 Score': 0.44680851063829785, 'Log Loss': 0.41694735967604457, 'Brier Score': 0.13310634872216778, 'Cluster Size': 272, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.6920388349514563, 'Accuracy': 0.7897727272727273, 'Precision': 0.25, 'Recall (TPR)': 0.038834951456310676, 'F1 Score': 0.06722689075630252, 'Log Loss': 0.46496190586901814, 'Brier Score': 0.15015125840526722, 'Cluster Size': 528, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 161, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9944707740916272, 'Accuracy': 0.9906103286384976, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.06548277308563234, 'Brier Score': 0.008678089030440832, 'Cluster Size': 639, 'Pure Cluster': False, 'Cluster ID': 1}}",3.57
Credit Risk,binary,3200,4,0.5976855721356639,0.553395578511224,"{'AUC Score': 0.7407838351732554, 'Accuracy': 0.8025, 'Precision': 0.6363636363636364, 'Recall (TPR)': 0.12574850299401197, 'F1 Score': 0.21, 'Log Loss': 0.4466234267824419, 'Brier Score': 0.14254855420185117, 'Cluster Size': 800, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}","{'AUC Score': 0.8358736928609618, 'Accuracy': 0.830625, 'Precision': 0.7928994082840237, 'Recall (TPR)': 0.20904836193447737, 'F1 Score': 0.3308641975308642, 'Log Loss': 0.386148824278372, 'Brier Score': 0.12077110734763671, 'Cluster Size': 3200, 'Pure Cluster': False, 'Cluster ID': 'Baseline'}",2,0.5143115203081429,"{0: {'AUC Score': 0.9989554317548747, 'Accuracy': 0.9972233240777469, 'Precision': 1.0, 'Recall (TPR)': 0.125, 'F1 Score': 0.2222222222222222, 'Log Loss': 0.0077296072700889385, 'Brier Score': 0.0018805256057278148, 'Cluster Size': 2521, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.9994161686929047, 'Accuracy': 0.9882179675994109, 'Precision': 0.9875195007800313, 'Recall (TPR)': 1.0, 'F1 Score': 0.9937205651491365, 'Log Loss': 0.055387662702671495, 'Brier Score': 0.013657357242749257, 'Cluster Size': 679, 'Pure Cluster': False, 'Cluster ID': 1}}",2,0.16604319638725049,"{0: {'AUC Score': 0.895016586939389, 'Accuracy': 0.9022508038585209, 'Precision': 1.0, 'Recall (TPR)': 0.02564102564102564, 'F1 Score': 0.05, 'Log Loss': 0.23737727879757828, 'Brier Score': 0.0686405576781886, 'Cluster Size': 1555, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.8215535015997156, 'Accuracy': 0.7689969604863222, 'Precision': 0.7868852459016393, 'Recall (TPR)': 0.29690721649484536, 'F1 Score': 0.4311377245508982, 'Log Loss': 0.4814907180858341, 'Brier Score': 0.15628776476152448, 'Cluster Size': 1645, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 631, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.9999218444704963, 'Accuracy': 0.9992214869599065, 'Precision': 1.0, 'Recall (TPR)': 0.8, 'F1 Score': 0.8888888888888888, 'Log Loss': 0.0022969615065699797, 'Brier Score': 0.0005117691299377861, 'Cluster Size': 2569, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.6353135313531353, 'Accuracy': 0.9983525535420099, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.013916113955544424, 'Brier Score': 0.001976898071738094, 'Cluster Size': 607, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.9085229808121374, 'Accuracy': 0.8756476683937824, 'Precision': 0.8817204301075269, 'Recall (TPR)': 0.9879518072289156, 'F1 Score': 0.9318181818181818, 'Log Loss': 0.3643964644290927, 'Brier Score': 0.09995954057916728, 'Cluster Size': 193, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 0.6655172413793103, 'Accuracy': 0.9033942558746736, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.2985577830091153, 'Brier Score': 0.08377385577163234, 'Cluster Size': 383, 'Pure Cluster': False, 'Cluster ID': 0}, 1: {'AUC Score': 0.6770069112174375, 'Accuracy': 0.7122302158273381, 'Precision': 0.65, 'Recall (TPR)': 0.19696969696969696, 'F1 Score': 0.3023255813953488, 'Log Loss': 0.580140374827696, 'Brier Score': 0.19594879614323696, 'Cluster Size': 417, 'Pure Cluster': False, 'Cluster ID': 1}}","{0: {'AUC Score': 1.0, 'Accuracy': 1.0, 'Precision': None, 'Recall (TPR)': None, 'F1 Score': None, 'Log Loss': 2.2204460492503136e-16, 'Brier Score': 0.0, 'Cluster Size': 164, 'Pure Cluster': True, 'Cluster ID': 0}, 1: {'AUC Score': 0.996313849394418, 'Accuracy': 0.9921383647798742, 'Precision': 0.0, 'Recall (TPR)': 0.0, 'F1 Score': 0.0, 'Log Loss': 0.014396768702103704, 'Brier Score': 0.005004189153796207, 'Cluster Size': 636, 'Pure Cluster': False, 'Cluster ID': 1}}",3.71
