,ID,Job tenure,Age,Car price,Default (y)
7025,7026,14,79,11990,0
7165,7166,36,54,34705,0
3937,3938,0,30,10900,0
1087,1088,2,26,10360,0
4076,4077,2,63,20590,0
4325,4326,2,33,15990,1
1501,1502,3,23,4650,0
1197,1198,46,62,13699,0
6764,6765,4,57,7800,0
676,677,5,39,19300,0
503,504,14,77,10046,1
4001,4002,8,73,12750,0
5629,5630,6,50,5100,0
6715,6716,10,30,11689,0
2132,2133,7,29,17290,0
957,958,20,53,26980,0
2284,2285,1,46,7105,0
6977,6978,2,68,8950,0
3721,3722,0,56,13300,1
6847,6848,17,42,10905,0
4630,4631,3,45,11290,0
5375,5376,11,54,9521,0
6808,6809,21,54,10989,0
2298,2299,19,54,7719,0
3949,3950,3,22,13333,0
5386,5387,1,35,23232,0
3979,3980,1,24,14050,1
1193,1194,2,55,7990,0
1330,1331,2,37,16110,0
1487,1488,4,36,8890,0
7200,7201,14,38,14950,0
2746,2747,1,50,15200,0
5026,5027,23,53,18881,0
1281,1282,22,40,6500,0
6854,6855,4,41,8990,0
6534,6535,19,47,19000,0
4708,4709,5,27,15150,0
5480,5481,14,30,20850,0
5904,5905,2,55,14290,0
7264,7265,23,83,6420,1
1886,1887,0,28,11500,0
318,319,17,56,8390,0
1916,1917,6,24,13500,0
5284,5285,6,66,15125,0
1600,1601,14,73,7078,0
7303,7304,3,34,8900,0
5700,5701,1,26,5990,0
6767,6768,15,58,5037,1
2208,2209,29,56,4785,0
41,42,21,40,6752,0
3478,3479,41,57,9200,0
7093,7094,39,56,10890,0
3989,3990,6,66,9085,0
1595,1596,1,64,13950,0
3539,3540,2,21,22950,1
185,186,0,37,10120,0
4063,4064,9,40,16085,0
3250,3251,22,54,8203,0
554,555,22,52,4000,0
6671,6672,1,55,7860,0
2802,2803,9,67,9485,0
4994,4995,6,32,8500,0
87,88,8,47,9950,0
2755,2756,18,49,12950,0
5901,5902,5,23,10450,0
6768,6769,1,33,5490,1
2275,2276,2,42,24500,1
4100,4101,1,39,1600,0
4395,4396,5,59,9500,1
1242,1243,10,70,11990,0
858,859,1,30,20600,1
1871,1872,0,26,11700,0
3256,3257,2,46,16908,0
2439,2440,7,39,12800,0
1163,1164,38,55,18939,0
5168,5169,7,55,13750,1
7191,7192,20,48,22250,0
5404,5405,3,25,18000,1
2992,2993,11,33,8250,0
7064,7065,6,42,14600,0
6691,6692,12,77,10000,0
7014,7015,3,67,12000,0
5964,5965,4,51,8750,0
465,466,1,41,20950,0
2926,2927,2,44,5641,0
6789,6790,0,33,4500,0
706,707,11,76,6900,1
4382,4383,2,49,8490,1
1817,1818,5,51,15040,0
2860,2861,7,30,5990,0
6073,6074,11,77,17460,0
5071,5072,3,46,7800,0
5707,5708,1,23,28400,0
3032,3033,18,45,9276,1
4050,4051,0,50,12490,0
5302,5303,0,29,19414,0
4791,4792,26,52,9950,0
69,70,0,53,13200,0
2225,2226,18,51,16365,0
5775,5776,7,47,28190,0
3438,3439,13,52,8833,0
3024,3025,36,58,22487,0
927,928,8,52,17945,0
5245,5246,3,26,23640,0
7201,7202,4,33,18390,0
3753,3754,41,59,19630,0
2759,2760,6,54,8990,0
828,829,3,21,8299,0
4121,4122,3,23,23000,1
1732,1733,4,40,18087,1
1650,1651,0,27,10100,0
6881,6882,1,31,19286,0
3903,3904,3,27,9500,1
3880,3881,1,34,12790,0
3908,3909,0,22,10333,1
1593,1594,2,24,20000,1
19,20,44,60,13800,0
3197,3198,4,62,4990,0
2991,2992,2,49,19179,0
472,473,5,48,18985,0
5804,5805,16,77,5350,0
3494,3495,37,58,4450,0
239,240,5,29,4467,0
5857,5858,18,36,14550,1
4128,4129,19,38,5890,0
1728,1729,7,66,9659,1
2576,2577,34,51,9500,0
7079,7080,7,29,5990,0
4487,4488,3,39,21475,0
393,394,8,69,8021,0
786,787,5,66,29990,0
308,309,9,73,20000,0
5368,5369,1,28,14990,0
2543,2544,2,45,9090,0
5364,5365,8,39,5591,0
2299,2300,10,72,8990,1
2954,2955,0,32,4045,0
5738,5739,1,42,18485,0
2306,2307,4,62,34460,0
3689,3690,11,75,18300,1
4625,4626,7,45,8995,0
2177,2178,7,32,19968,1
3698,3699,5,24,19100,0
3038,3039,3,44,18500,0
4122,4123,1,48,11440,0
6012,6013,3,26,7650,0
5219,5220,3,37,10575,0
6648,6649,1,37,16810,0
3824,3825,15,54,6590,0
1055,1056,3,58,5628,1
6704,6705,3,26,13430,0
7084,7085,37,55,23622,0
496,497,1,48,13000,0
4019,4020,0,37,16500,1
2478,2479,17,59,4300,0
5261,5262,5,36,13259,0
3790,3791,5,57,2500,0
4030,4031,1,23,8990,1
6758,6759,1,24,8069,0
2781,2782,1,44,10840,0
6204,6205,1,46,6409,0
5360,5361,4,31,12537,0
222,223,23,62,8480,1
3484,3485,10,74,7990,0
1393,1394,4,55,19950,0
2249,2250,5,50,9900,0
6209,6210,6,55,10680,0
2036,2037,7,47,14800,0
4947,4948,11,44,14185,1
2977,2978,3,29,24900,0
1317,1318,12,71,5000,0
2348,2349,1,18,17964,1
1041,1042,32,57,5254,0
5968,5969,0,26,9900,1
3386,3387,1,31,29990,1
3980,3981,1,32,6598,0
3929,3930,12,47,13500,0
1335,1336,18,44,6300,0
1215,1216,34,57,6700,0
789,790,9,48,7990,0
509,510,0,21,13590,1
7193,7194,13,44,9000,0
5141,5142,0,52,12129,0
6634,6635,26,61,5000,0
6605,6606,8,27,15899,0
4917,4918,10,70,11985,0
3668,3669,0,25,21495,0
3166,3167,2,47,17975,0
3399,3400,0,36,35000,0
2855,2856,7,29,4780,0
1263,1264,3,20,6960,1
2226,2227,2,34,15840,0
6075,6076,11,41,13990,0
5025,5026,2,33,23500,0
1451,1452,26,56,8500,0
1803,1804,3,67,12705,0
4401,4402,15,53,8938,0
6098,6099,1,43,15890,1
6651,6652,12,44,31000,0
7253,7254,2,40,13980,0
642,643,11,67,19190,0
1740,1741,5,32,9830,0
457,458,0,63,19615,0
2549,2550,12,66,8900,0
6430,6431,11,28,8910,0
2344,2345,0,65,8999,0
1807,1808,0,48,7900,0
6311,6312,2,52,9290,0
7229,7230,10,51,26999,0
2585,2586,0,24,3600,1
3181,3182,1,56,8190,0
1412,1413,9,52,14410,0
50,51,1,19,18990,1
5096,5097,4,45,8990,0
877,878,8,26,18200,0
245,246,14,60,11385,0
3050,3051,16,37,7430,0
4705,4706,0,22,8900,1
5865,5866,18,47,6220,0
7083,7084,39,56,5985,0
6822,6823,7,32,5750,0
3656,3657,26,55,18402,0
7260,7261,2,25,13900,0
6539,6540,1,38,8000,1
4903,4904,5,41,6340,1
4326,4327,2,40,23780,1
5413,5414,10,46,34960,0
2628,2629,9,39,10450,1
2646,2647,4,54,15180,0
4925,4926,42,59,16110,0
3580,3581,3,60,25990,1
321,322,26,46,15300,0
3904,3905,36,61,7095,0
1811,1812,6,70,7930,0
3053,3054,1,27,14790,0
2846,2847,4,62,24980,1
2405,2406,15,41,4401,0
6827,6828,7,39,12100,0
1509,1510,16,55,23250,0
3320,3321,3,41,9000,1
2523,2524,1,29,2239,0
7316,7317,20,47,6900,0
468,469,15,49,26290,0
6153,6154,1,25,10100,0
4004,4005,36,58,17165,0
4987,4988,0,25,11550,0
4758,4759,21,57,5490,1
6520,6521,4,67,8575,0
6189,6190,10,66,30970,0
5950,5951,3,60,13680,0
233,234,0,27,3546,1
65,66,9,36,19683,0
4381,4382,0,30,20950,0
1729,1730,1,55,8010,0
7247,7248,5,62,5200,0
3383,3384,2,26,14950,1
5231,5232,1,23,14269,1
970,971,23,40,13970,0
4607,4608,4,34,10360,0
381,382,2,62,28930,1
800,801,1,30,9590,1
1867,1868,14,39,17090,0
5905,5906,1,35,13730,1
3049,3050,20,36,24990,0
5094,5095,27,49,16500,0
217,218,1,64,22610,1
2184,2185,0,49,28975,0
743,744,6,40,6999,0
7423,7424,22,43,23900,0
6951,6952,2,29,15730,0
6470,6471,0,52,10980,1
1467,1468,1,65,19690,0
2318,2319,3,20,8450,1
2827,2828,15,57,8900,0
2310,2311,25,42,15980,0
4772,4773,0,53,7800,0
435,436,31,47,11400,0
1656,1657,0,63,19000,0
4161,4162,8,49,17600,0
6057,6058,11,38,15340,0
7048,7049,3,27,12890,0
1869,1870,19,51,18990,0
3540,3541,16,80,22450,0
6479,6480,10,32,8415,1
6127,6128,2,51,3640,0
2881,2882,1,27,15990,0
6045,6046,14,32,21657,0
4015,4016,33,57,5682,0
3796,3797,2,27,10500,0
5780,5781,0,32,4500,0
1199,1200,28,49,28000,0
763,764,15,49,15000,0
1649,1650,2,42,13870,0
2569,2570,3,41,21990,0
6286,6287,2,20,10880,0
996,997,37,57,15790,1
7207,7208,13,67,7900,1
486,487,11,57,15800,0
1582,1583,19,51,11670,0
2473,2474,3,55,12390,0
3043,3044,19,58,6437,0
1022,1023,4,56,13500,0
3768,3769,23,41,10990,0
2519,2520,0,25,8000,1
6347,6348,10,35,5281,0
5329,5330,36,61,15947,0
5620,5621,4,38,6990,0
4782,4783,27,70,6850,1
4706,4707,2,39,13701,1
4836,4837,11,47,26797,1
5516,5517,25,46,13500,0
7392,7393,39,62,15995,0
48,49,3,61,9710,0
176,177,1,23,13000,0
1536,1537,0,60,13990,0
6826,6827,0,43,10420,0
3308,3309,38,57,11110,0
5743,5744,4,40,8440,0
4336,4337,0,48,22262,0
2107,2108,0,23,10990,1
91,92,2,56,22129,0
538,539,5,27,17877,1
6900,6901,33,55,6990,0
742,743,13,46,15635,0
3470,3471,2,40,13980,0
4828,4829,4,31,13000,0
1005,1006,5,32,8450,1
1499,1500,18,57,20990,0
6289,6290,1,34,4900,0
7015,7016,11,43,4524,0
106,107,6,28,20400,0
4608,4609,0,24,6950,1
5330,5331,5,56,15695,0
3686,3687,2,20,27500,1
3132,3133,4,42,23070,0
5613,5614,36,60,10379,0
3439,3440,9,35,9300,0
3370,3371,3,68,16990,0
1061,1062,1,52,10990,0
2094,2095,6,44,12300,0
5584,5585,0,20,11313,0
5668,5669,1,20,15334,0
2088,2089,7,72,9400,0
2676,2677,4,66,10940,1
6762,6763,0,46,15439,0
3071,3072,16,79,12950,0
5406,5407,10,34,11825,0
167,168,0,25,16890,0
5755,5756,2,39,7862,1
2462,2463,1,32,6000,0
1315,1316,14,79,4552,0
6321,6322,0,39,21490,0
5291,5292,15,77,9259,0
3651,3652,0,26,14790,1
1755,1756,27,51,6040,0
1858,1859,22,46,23390,0
4766,4767,30,51,15901,0
7145,7146,1,25,12900,1
6567,6568,5,57,10850,1
4467,4468,5,36,8154,0
6761,6762,8,50,6194,0
2287,2288,12,43,15500,0
4313,4314,8,43,6850,0
3379,3380,28,45,22730,0
5451,5452,13,36,12639,0
1385,1386,3,25,11290,1
3018,3019,1,28,15200,0
4355,4356,7,36,18500,0
5866,5867,8,46,13850,1
2333,2334,1,21,4900,0
1512,1513,0,25,16750,0
511,512,12,76,6711,1
1174,1175,1,35,9500,0
997,998,5,44,22229,0
3688,3689,6,51,10205,0
4861,4862,16,56,10418,0
7241,7242,5,44,5489,0
5643,5644,1,19,21950,1
1374,1375,22,55,3990,0
4195,4196,0,36,14990,0
3482,3483,19,46,23950,0
2684,2685,29,52,10744,0
4936,4937,0,54,11890,0
1883,1884,22,50,10450,0
1057,1058,5,64,5199,1
4291,4292,2,26,20100,0
1623,1624,30,47,8469,0
1934,1935,0,51,22490,0
1074,1075,11,28,9970,0
1480,1481,26,56,9000,0
7290,7291,8,39,12510,0
73,74,1,37,14700,0
3871,3872,4,59,11420,0
6454,6455,0,23,15990,1
2389,2390,18,46,29490,0
2829,2830,12,58,19199,0
1820,1821,1,56,10639,0
3381,3382,1,23,19990,1
4525,4526,20,80,6862,0
6143,6144,19,55,20590,1
2517,2518,1,39,11950,0
179,180,1,20,16790,1
2516,2517,8,50,13485,0
3125,3126,0,27,14890,0
4717,4718,15,38,20790,0
2885,2886,19,46,22702,0
1559,1560,1,31,15000,0
1042,1043,5,49,11999,0
1097,1098,2,30,4704,0
31,32,9,71,22830,0
6548,6549,2,54,4888,0
3787,3788,4,39,16700,0
5121,5122,4,39,10400,1
168,169,2,27,26228,0
2481,2482,23,51,10980,0
4371,4372,25,49,14623,0
1261,1262,2,35,30070,1
6903,6904,0,40,13000,0
7006,7007,0,19,19900,1
3896,3897,9,63,11508,1
2531,2532,3,37,20922,0
6599,6600,0,30,9589,0
7378,7379,8,56,3490,0
4664,4665,18,56,7449,0
3849,3850,15,48,10000,0
7060,7061,2,58,19680,0
3543,3544,30,54,4598,0
6123,6124,5,22,14000,0
5246,5247,11,50,20780,0
1383,1384,10,59,6795,0
5049,5050,36,52,4322,0
5746,5747,23,46,6968,0
1002,1003,24,53,25530,0
2091,2092,26,47,7690,0
7384,7385,4,46,9000,1
4974,4975,23,88,4000,0
683,684,11,45,27500,0
5316,5317,3,31,16900,0
1328,1329,0,18,10990,1
1608,1609,20,53,13785,0
3286,3287,1,24,11400,0
2868,2869,10,49,9950,0
1103,1104,4,28,6560,0
1483,1484,3,31,11149,1
7138,7139,0,24,10548,0
1302,1303,9,31,20880,1
500,501,1,56,7950,1
437,438,4,27,8990,1
3601,3602,8,67,10100,0
1128,1129,2,28,7200,0
2850,2851,22,54,11591,0
2173,2174,13,49,4700,0
5994,5995,0,42,7200,1
80,81,16,38,14900,0
1426,1427,4,59,28180,0
5681,5682,34,51,9460,0
6525,6526,1,34,17809,0
5296,5297,5,44,6500,0
2728,2729,0,29,10980,1
1543,1544,2,36,8500,0
3866,3867,3,34,11400,0
2115,2116,30,57,6900,0
2087,2088,21,77,7600,1
1561,1562,11,76,4405,0
7289,7290,4,64,35200,0
7076,7077,14,55,7000,0
3458,3459,4,57,15655,0
5039,5040,1,18,21990,1
1662,1663,14,61,14900,0
534,535,4,68,6600,1
711,712,10,46,6800,0
1075,1076,10,51,9767,0
585,586,1,23,12990,1
6134,6135,2,25,8990,0
737,738,2,63,34700,0
4220,4221,31,59,16400,0
1153,1154,0,26,10950,0
4328,4329,2,56,13200,0
4418,4419,10,74,13990,0
491,492,10,31,21593,0
7301,7302,2,52,16700,0
4216,4217,9,37,10890,0
6049,6050,8,45,8104,0
1632,1633,5,36,6900,0
1430,1431,28,46,17100,0
6081,6082,3,64,15115,0
2921,2922,31,48,5890,0
6868,6869,2,64,25800,0
852,853,17,63,21380,0
811,812,1,30,8490,1
4091,4092,5,29,5500,0
3994,3995,4,59,16950,0
2499,2500,3,46,13499,0
1775,1776,26,51,17000,0
2436,2437,7,28,11990,0
1181,1182,3,23,15317,1
1786,1787,29,54,4264,0
4606,4607,1,21,10800,1
401,402,1,29,30968,1
1244,1245,0,36,15990,1
157,158,15,57,26790,0
4890,4891,44,61,3490,0
7216,7217,24,53,22300,0
1790,1791,19,48,13500,0
6834,6835,11,76,10500,0
6357,6358,2,44,4990,0
3715,3716,6,33,13659,1
994,995,4,62,9300,0
6606,6607,4,68,4342,0
5380,5381,18,51,13049,0
2699,2700,9,57,15000,0
5686,5687,23,58,8870,0
573,574,17,74,24990,0
3406,3407,5,33,13000,0
4367,4368,15,42,4529,0
6658,6659,15,49,4490,0
3128,3129,6,35,17700,0
1034,1035,11,45,9990,0
535,536,20,40,26000,0
5888,5889,5,36,24783,0
1862,1863,3,26,24962,1
5969,5970,19,49,11062,0
7261,7262,0,63,17150,0
5046,5047,0,37,9945,1
2495,2496,1,30,15100,0
1172,1173,7,51,10689,0
3745,3746,11,52,12838,0
6162,6163,1,24,7900,1
5277,5278,14,49,16500,0
4129,4130,24,51,4100,0
6142,6143,1,27,10950,0
4416,4417,8,50,11990,0
5259,5260,6,53,6298,0
473,474,17,47,8300,0
1652,1653,15,60,5865,0
4127,4128,9,77,19990,1
1979,1980,0,20,11365,1
6621,6622,0,37,6890,0
7380,7381,24,62,9000,0
1407,1408,1,21,15000,0
469,470,18,77,7299,1
2181,2182,4,40,17400,0
5610,5611,5,50,6200,0
3194,3195,16,33,13490,0
5979,5980,15,58,15550,0
247,248,9,38,8950,0
7311,7312,21,47,6412,0
4842,4843,7,52,11500,0
4722,4723,12,40,8990,1
6602,6603,16,41,16300,0
2510,2511,11,75,12020,0
4640,4641,1,54,15990,0
6725,6726,27,58,7067,0
2859,2860,5,47,8990,0
1038,1039,3,41,7890,0
3948,3949,0,57,7300,1
7113,7114,7,43,11990,0
228,229,4,50,17460,0
3154,3155,2,35,5990,0
6147,6148,0,25,10990,0
17,18,3,22,9078,0
7255,7256,1,36,23490,0
2291,2292,30,56,12700,0
6391,6392,17,51,11576,0
6392,6393,1,48,11990,1
2206,2207,4,29,22750,0
5945,5946,3,35,17845,0
2415,2416,5,30,12750,0
5943,5944,1,30,13070,0
3206,3207,4,57,9000,0
6492,6493,31,53,19480,0
6815,6816,2,51,6500,0
6721,6722,12,57,5364,0
2268,2269,17,50,4812,0
5091,5092,17,49,5890,0
982,983,4,36,17140,0
5095,5096,12,79,8441,0
543,544,2,20,5990,1
1677,1678,0,43,11990,0
3942,3943,23,50,22670,0
2191,2192,32,51,4200,0
866,867,0,29,16600,0
1618,1619,0,43,12600,1
2929,2930,2,21,27000,1
6533,6534,6,49,5900,0
3996,3997,7,24,23850,0
3513,3514,3,27,11200,1
96,97,5,41,12968,0
960,961,21,54,12628,0
2155,2156,13,60,8990,0
4864,4865,20,42,7900,0
5579,5580,4,54,15600,0
4935,4936,3,66,17900,0
156,157,5,40,20849,0
3150,3151,10,37,19490,0
3862,3863,0,28,9950,1
1747,1748,15,39,11490,1
2112,2113,2,47,14000,0
2251,2252,5,27,23999,1
611,612,14,72,9540,0
1295,1296,24,49,25480,0
696,697,13,53,16760,1
425,426,30,55,8900,0
1514,1515,30,52,6900,0
712,713,12,73,12688,0
3612,3613,6,47,5359,0
932,933,8,68,3870,0
3454,3455,2,54,16390,1
3749,3750,4,30,9970,1
1670,1671,7,59,16990,0
447,448,4,47,6268,1
3813,3814,21,77,5800,0
4239,4240,10,74,8999,0
5547,5548,1,32,25030,0
592,593,6,25,8500,1
2157,2158,11,61,11900,0
6329,6330,35,54,11000,0
3966,3967,4,21,14950,0
131,132,10,52,715,0
6996,6997,4,29,15980,0
5703,5704,15,71,19400,0
3956,3957,6,45,15490,0
1965,1966,6,36,19400,1
624,625,3,31,19585,0
3091,3092,0,50,3990,0
3641,3642,1,55,18100,0
4331,4332,2,25,6990,0
3520,3521,25,45,4300,1
5018,5019,23,51,24900,1
5187,5188,7,28,6701,0
2540,2541,2,45,6250,0
756,757,2,67,13680,0
2907,2908,2,46,12980,0
3185,3186,30,47,20190,0
2189,2190,5,34,13580,0
2572,2573,0,27,16140,0
93,94,9,34,19990,0
3528,3529,14,32,6390,0
6159,6160,2,68,5990,0
4071,4072,1,24,25500,1
4690,4691,24,55,7500,0
6076,6077,25,49,14990,0
1370,1371,1,61,24135,1
2002,2003,3,31,26490,0
2609,2610,8,51,24740,0
5286,5287,24,51,6749,0
6268,6269,15,62,4000,0
764,765,5,29,11600,0
7114,7115,32,48,21300,0
476,477,12,76,11770,0
5377,5378,8,32,7940,0
2707,2708,3,61,15700,0
4489,4490,0,63,6800,0
2521,2522,7,43,10700,0
5553,5554,2,37,23660,1
6110,6111,3,38,12990,0
4384,4385,9,28,22910,0
1615,1616,0,60,6637,0
6971,6972,3,42,5990,0
2470,2471,2,43,17900,0
2648,2649,1,28,23800,0
752,753,7,40,10990,0
2095,2096,0,37,7000,0
2890,2891,26,45,15990,0
4486,4487,15,37,14440,0
351,352,14,31,8950,0
487,488,3,43,18850,0
865,866,23,49,19990,0
4653,4654,2,32,6985,1
2789,2790,7,70,19377,0
4803,4804,7,56,9850,0
4556,4557,9,29,7990,1
3263,3264,11,56,4450,0
7297,7298,40,59,39136,0
6784,6785,32,59,13900,0
4080,4081,35,55,23723,0
561,562,1,35,19999,1
1718,1719,3,37,19400,0
3362,3363,2,18,7770,1
6257,6258,0,44,11750,0
1078,1079,35,52,19025,0
334,335,0,39,13990,0
4482,4483,11,48,14380,0
4404,4405,2,55,15487,0
7221,7222,0,44,22000,0
2440,2441,18,46,9900,0
6850,6851,1,64,9480,0
1575,1576,5,70,20830,0
4055,4056,2,30,11387,0
23,24,3,26,14140,0
1832,1833,2,30,14700,1
1554,1555,3,54,18930,1
4905,4906,2,33,19625,1
1730,1731,18,51,25700,0
6318,6319,1,23,3888,0
1429,1430,18,49,20990,0
4104,4105,3,32,13000,0
4373,4374,1,42,22600,0
6553,6554,1,36,13490,1
2899,2900,7,25,12490,0
4421,4422,4,38,16985,0
445,446,28,52,16790,0
6801,6802,16,41,19248,0
1565,1566,25,52,8590,1
4624,4625,14,78,15490,0
4712,4713,4,68,15590,1
3017,3018,11,54,13189,0
6499,6500,2,32,3500,0
5381,5382,5,41,5990,1
5676,5677,1,58,9900,1
5993,5994,16,48,13870,0
2678,2679,17,60,11900,0
3149,3150,25,57,13700,0
1793,1794,14,36,29493,0
3590,3591,12,44,14990,0
3437,3438,4,26,8726,0
3047,3048,1,30,7990,1
6048,6049,1,22,10900,0
2457,2458,23,84,13429,0
5162,5163,14,59,11290,0
842,843,0,28,9500,1
4671,4672,2,34,13980,0
5391,5392,2,46,5200,0
2182,2183,0,54,7705,0
4808,4809,0,43,7600,0
2592,2593,7,72,9480,0
3121,3122,17,45,13794,1
1539,1540,21,50,4750,0
6156,6157,1,25,9385,0
1839,1840,1,21,21690,1
518,519,0,63,19300,0
1563,1564,25,48,17900,0
