,ID,Job tenure,Age,Car price,Default (y)
2306,2307,4,62,34460,0
5345,5346,22,52,15351,0
1862,1863,3,26,24962,1
1172,1173,7,51,10689,0
3043,3044,19,58,6437,0
19,20,44,60,13800,0
1561,1562,11,76,4405,0
1467,1468,1,65,19690,0
473,474,17,47,8300,0
6073,6074,11,77,17460,0
4417,4418,2,65,20900,0
3044,3045,1,45,21000,0
1978,1979,3,21,23000,1
7216,7217,24,53,22300,0
1582,1583,19,51,11670,0
743,744,6,40,6999,0
3341,3342,1,37,24900,0
554,555,22,52,4000,0
1721,1722,21,49,13550,0
2549,2550,12,66,8900,0
752,753,7,40,10990,0
177,178,15,78,12540,0
6189,6190,10,66,30970,0
3768,3769,23,41,10990,0
1281,1282,22,40,6500,0
2578,2579,13,53,5388,0
2275,2276,2,42,24500,1
1372,1373,2,54,17021,0
4076,4077,2,63,20590,0
3181,3182,1,56,8190,0
2478,2479,17,59,4300,0
592,593,6,25,8500,1
4918,4919,19,53,16500,0
773,774,17,77,5190,0
6253,6254,40,66,16150,0
4852,4853,6,70,22290,0
1563,1564,25,48,17900,0
3182,3183,30,61,9100,0
1022,1023,4,56,13500,0
2287,2288,12,43,15500,0
1559,1560,1,31,15000,0
4582,4583,8,37,34829,0
6598,6599,16,76,8630,0
4126,4127,14,52,9400,0
4161,4162,8,49,17600,0
1181,1182,3,23,15317,1
1600,1601,14,73,7078,0
3896,3897,9,63,11508,1
4861,4862,16,56,10418,0
865,866,23,49,19990,0
2388,2389,21,76,5900,0
3753,3754,41,59,19630,0
7083,7084,39,56,5985,0
3601,3602,8,67,10100,0
3656,3657,26,55,18402,0
2112,2113,2,47,14000,0
3399,3400,0,36,35000,0
3478,3479,41,57,9200,0
1934,1935,0,51,22490,0
1295,1296,24,49,25480,0
2755,2756,18,49,12950,0
5979,5980,15,58,15550,0
1034,1035,11,45,9990,0
1786,1787,29,54,4264,0
1061,1062,1,52,10990,0
7297,7298,40,59,39136,0
334,335,0,39,13990,0
4015,4016,33,57,5682,0
3197,3198,4,62,4990,0
4935,4936,3,66,17900,0
1412,1413,9,52,14410,0
1005,1006,5,32,8450,1
3309,3310,25,49,9250,0
1009,1010,10,58,24500,0
