,ID,Job tenure,Age,Car price,Default (y)
3341,3342,1,37,24900,0
6911,6912,3,60,6849,0
7193,7194,13,44,9000,0
6332,6333,3,65,6990,0
4421,4422,4,38,16985,0
5609,5610,5,50,7685,0
6204,6205,1,46,6409,0
6189,6190,10,66,30970,0
6762,6763,0,46,15439,0
4382,4383,2,49,8490,1
2495,2496,1,30,15100,0
6754,6755,5,32,10390,0
5689,5690,4,47,22900,1
6520,6521,4,67,8575,0
6453,6454,1,44,12950,0
5121,5122,4,39,10400,1
2275,2276,2,42,24500,1
5852,5853,10,74,4430,0
6338,6339,2,46,12189,0
4104,4105,3,32,13000,0
1372,1373,2,54,17021,0
4076,4077,2,63,20590,0
3181,3182,1,56,8190,0
2478,2479,17,59,4300,0
592,593,6,25,8500,1
4581,4582,0,23,9650,0
1385,1386,3,25,11290,1
6715,6716,10,30,11689,0
3879,3880,0,64,4240,1
1559,1560,1,31,15000,0
2781,2782,1,44,10840,0
6598,6599,16,76,8630,0
5459,5460,2,24,14000,0
6156,6157,1,25,9385,0
4640,4641,1,54,15990,0
4100,4101,1,39,1600,0
3896,3897,9,63,11508,1
2388,2389,21,76,5900,0
2523,2524,1,29,2239,0
2926,2927,2,44,5641,0
1650,1651,0,27,10100,0
3399,3400,0,36,35000,0
2462,2463,1,32,6000,0
1934,1935,0,51,22490,0
3286,3287,1,24,11400,0
334,335,0,39,13990,0
2284,2285,1,46,7105,0
3197,3198,4,62,4990,0
5943,5944,1,30,13070,0
1412,1413,9,52,14410,0
1005,1006,5,32,8450,1
7288,7289,6,59,13880,0
1501,1502,3,23,4650,0
4936,4937,0,54,11890,0
6971,6972,3,42,5990,0
3937,3938,0,30,10900,0
4325,4326,2,33,15990,1
5673,5674,3,31,18990,0
496,497,1,48,13000,0
5659,5660,4,37,9900,0
1565,1566,25,52,8590,1
4487,4488,3,39,21475,0
6425,6426,2,31,8990,0
2699,2700,9,57,15000,0
4216,4217,9,37,10890,0
6847,6848,17,42,10905,0
7301,7302,2,52,16700,0
2344,2345,0,65,8999,0
4331,4332,2,25,6990,0
3077,3078,9,61,7700,0
3078,3079,3,48,19250,0
6602,6603,16,41,16300,0
4556,4557,9,29,7990,1
2543,2544,2,45,9090,0
3886,3887,1,52,16800,0
1142,1143,5,35,10105,1
5707,5708,1,23,28400,0
6020,6021,1,54,33485,0
2572,2573,0,27,16140,0
93,94,9,34,19990,0
2110,2111,0,53,12480,1
4055,4056,2,30,11387,0
5866,5867,8,46,13850,1
996,997,37,57,15790,1
6723,6724,5,31,19990,0
2310,2311,25,42,15980,0
2095,2096,0,37,7000,0
6502,6503,17,44,10900,0
5306,5307,0,50,7551,0
7203,7204,7,55,21524,0
997,998,5,44,22229,0
6055,6056,0,58,5990,0
7255,7256,1,36,23490,0
4050,4051,0,50,12490,0
5547,5548,1,32,25030,0
7015,7016,11,43,4524,0
2184,2185,0,49,28975,0
4995,4996,0,39,9579,0
7423,7424,22,43,23900,0
6850,6851,1,64,9480,0
6815,6816,2,51,6500,0
1193,1194,2,55,7990,0
7000,7001,1,31,3950,0
6368,6369,24,83,9850,0
2732,2733,22,57,2700,0
7289,7290,4,64,35200,0
5046,5047,0,37,9945,1
7153,7154,3,51,23100,0
2802,2803,9,67,9485,0
1665,1666,1,66,7896,0
6789,6790,0,33,4500,0
6357,6358,2,44,4990,0
3796,3797,2,27,10500,0
7048,7049,3,27,12890,0
6134,6135,2,25,8990,0
7323,7324,7,59,9035,0
858,859,1,30,20600,1
6691,6692,12,77,10000,0
1670,1671,7,59,16990,0
6548,6549,2,54,4888,0
23,24,3,26,14140,0
6951,6952,2,29,15730,0
4603,4604,0,56,11895,0
534,535,4,68,6600,1
544,545,0,41,8490,0
1407,1408,1,21,15000,0
2569,2570,3,41,21990,0
3032,3033,18,45,9276,1
7253,7254,2,40,13980,0
1807,1808,0,48,7900,0
3995,3996,1,55,6990,1
5018,5019,23,51,24900,1
5391,5392,2,46,5200,0
4712,4713,4,68,15590,1
5296,5297,5,44,6500,0
7207,7208,13,67,7900,1
4373,4374,1,42,22600,0
3128,3129,6,35,17700,0
1820,1821,1,56,10639,0
3121,3122,17,45,13794,1
1410,1411,1,21,9190,0
6159,6160,2,68,5990,0
2796,2797,0,55,10400,0
169,170,2,24,7560,0
2510,2511,11,75,12020,0
3113,3114,3,60,4016,0
2087,2088,21,77,7600,1
4030,4031,1,23,8990,1
6671,6672,1,55,7860,0
811,812,1,30,8490,1
625,626,2,22,8900,1
6321,6322,0,39,21490,0
2881,2882,1,27,15990,0
4947,4948,11,44,14185,1
5406,5407,10,34,11825,0
764,765,5,29,11600,0
1511,1512,10,74,3860,0
5804,5805,16,77,5350,0
1649,1650,2,42,13870,0
429,430,0,38,11199,0
3125,3126,0,27,14890,0
6651,6652,12,44,31000,0
2389,2390,18,46,29490,0
1615,1616,0,60,6637,0
3018,3019,1,28,15200,0
5284,5285,6,66,15125,0
6996,6997,4,29,15980,0
437,438,4,27,8990,1
239,240,5,29,4467,0
5780,5781,0,32,4500,0
7290,7291,8,39,12510,0
1302,1303,9,31,20880,1
6311,6312,2,52,9290,0
6966,6967,6,25,7579,1
6801,6802,16,41,19248,0
4974,4975,23,88,4000,0
2648,2649,1,28,23800,0
1244,1245,0,36,15990,1
7138,7139,0,24,10548,0
1840,1841,10,70,6490,0
6854,6855,4,41,8990,0
1128,1129,2,28,7200,0
2470,2471,2,43,17900,0
